x,y,recv_pwr0,recv_pwr1,recv_pwr2
0.5,0.5,-7.34695,-52.5111,-371.026
0.5,1.5,-14.3367,-52.4579,-371.049
0.5,2.5,-18.4864,-52.4046,-371.093
0.5,3.5,-21.3264,-52.3511,-371.161
0.5,4.5,-23.4748,-52.2975,-371.25
0.5,5.5,-25.2002,-52.2439,-295.11
0.5,6.5,-26.6411,-52.1901,-345.161
0.5,7.5,-27.8777,-52.1362,-314.867
0.5,8.5,-28.9606,-52.0823,-315.038
0.5,9.5,-29.9237,-52.0282,-315.231
0.5,10.5,-30.7909,-51.9741,-315.445
0.5,11.5,-31.5794,-51.9199,-315.68
0.5,12.5,-32.3024,-51.8656,-315.937
0.5,13.5,-32.9699,-51.8112,-316.214
0.5,14.5,-33.5898,-51.7568,-299.924
0.5,15.5,-34.1684,-51.7024,-256.137
0.5,16.5,-34.7109,-51.6479,-217.466
0.5,17.5,-35.2216,-51.5933,-183.062
0.5,18.5,-35.7039,-51.5387,-152.245
0.5,19.5,-36.1608,-51.4841,-124.469
0.5,20.5,-36.5949,-51.4295,-50.5776
0.5,21.5,-37.0084,-51.3749,-50.5949
0.5,22.5,-37.403,-51.3203,-50.613
0.5,23.5,-37.7806,-51.2656,-50.6318
0.5,24.5,-38.1424,-51.211,-50.6513
0.5,25.5,-38.4897,-51.1565,-50.6715
0.5,26.5,-38.8237,-51.1019,-50.6925
0.5,27.5,-39.1453,-51.0475,-50.7141
0.5,28.5,-39.4555,-50.993,-50.7365
0.5,29.5,-39.7549,-50.9387,-50.7595
0.5,30.5,-40.0444,-50.8844,-50.7832
0.5,31.5,-40.3246,-50.8302,-50.8075
0.5,32.5,-40.5959,-50.7761,-50.8325
0.5,33.5,-40.8591,-50.7221,-50.8581
0.5,34.5,-41.1145,-50.6683,-50.8844
0.5,35.5,-41.3627,-50.6146,-50.9112
0.5,36.5,-41.6039,-50.5611,-50.9387
0.5,37.5,-41.8386,-50.5077,-50.9667
0.5,38.5,-42.0672,-50.4545,-50.9953
0.5,39.5,-42.2899,-119.671,-51.0244
0.5,40.5,-42.507,-127.736,-51.0541
0.5,41.5,-42.7188,-135.972,-51.0843
0.5,42.5,-42.9256,-144.388,-51.1151
0.5,43.5,-43.1276,-152.997,-51.1463
0.5,44.5,-43.325,-161.808,-51.1781
0.5,45.5,-43.518,-170.836,-51.2103
0.5,46.5,-43.7068,-180.093,-51.243
0.5,47.5,-43.8916,-189.594,-51.2762
0.5,48.5,-44.0725,-199.354,-51.3098
0.5,49.5,-44.2498,-207.799,-51.3439
0.5,50.5,-44.4235,-208.893,-51.3783
0.5,51.5,-44.5938,-210.031,-51.4132
0.5,52.5,-44.7608,-211.214,-51.4485
0.5,53.5,-44.9247,-212.446,-51.4841
0.5,54.5,-45.0855,-213.726,-51.5202
0.5,55.5,-45.2435,-215.055,-51.5566
0.5,56.5,-45.3986,-216.436,-51.5933
0.5,57.5,-45.5509,-217.866,-51.6304
0.5,58.5,-45.7007,-219.346,-51.6678
0.5,59.5,-45.8479,-220.872,-51.7056
0.5,60.5,-45.9927,-222.439,-51.7436
