t;"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";GW[0] Received RSSI (position=240,240);GW[1] Received RSSI (position=200,140);"SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)"
86417.28236762122;0;none;none;10;2;125.52728319104;81.246757175664;1.5691331597193
86566.87474120051;1;none;none;10;2;159.71880923735;298.46499158488;1.5347481354146
86972.83012340404;2;none;none;10;2;327.01026787996;397.80122406296;1.4372797644129
87062.71114319822;3;none;none;10;2;391.41144468598;318.25265886712;1.2769355424064
87136.27993237209;4;none;none;10;2;444.12464942978;253.14111879584;1.1456917014813
87196.63083187102;5;none;none;10;2;393.93608902048;262.85071844854;1.2392226113586
87272.55255299036;6;-132.45939402059;none;10;2;309.47154622731;289.47420757684;1.402810791743
87335.08686014457;7;-130.93678173973;none;10;2;239.90078854696;311.40312886736;1.5375531733452
87476.45983238524;8;none;none;10;2;82.620325359713;360.97842476416;1.8421688609694
87539.61265532322;9;none;none;10;2;62.99528501762;274.12255996223;1.695360797785
87678.27194254355;10;-131.47191219;-132.82166720999;10;2;166.04349471345;222.24636183137;1.5963765043412
87826.13367742941;11;none;none;10;2;332.05500308026;244.19362281495;1.6315233766814
88012.68962922656;12;-132.87210554952;none;10;2;158.66751567789;277.31290771898;1.5151228771426
88069.66674034422;13;none;none;10;2;58.133862839608;275.18858038484;1.4219430250332
88304.30734313299;14;none;-132.00319270808;10;2;119.01931156364;140.13289500793;1.8364356877619
88658.88833142416;15;none;none;10;2;272.93229209661;404.65539055911;1.8721346903435
88783.44016852259;16;-131.65014216515;none;10;2;167.53834295501;267.9122512373;1.5573940983497
88863.95207943248;17;none;none;10;2;99.410337448153;179.51972562632;1.3539417278936
88919.49485574227;18;none;none;10;2;81.548371840141;140.99317763879;1.2691948140426
89139.74194252714;19;-125.65912556278;none;10;2;273.95666184634;225.96511738283;1.5420045872727
89256.92842033567;20;none;none;10;2;133.20529032722;230.93587200492;1.6719858685613
89375.44073898494;21;none;none;10;2;98.875520033756;270.39078754898;1.7112772116322
89432.4151625147;22;none;none;10;2;167.6282071591;316.53293072602;1.6574231293583
89504.61802436141;23;none;none;10;2;254.75749188996;375.00820055272;1.589174630797
89706.57396536226;24;none;none;10;2;420.69255823373;241.84008639342;1.7802323809635
89922.97109214056;25;none;none;10;2;411.90925646345;234.38660807346;1.3309974625014
89990.42689514812;26;none;none;10;2;347.74025409767;126.93939494141;1.3347181494036
90246.29368435445;27;-131.48670658715;none;10;2;284.85791997665;301.53194563654;1.4224135152888
90367.18428828873;28;none;none;10;2;327.70720743759;401.05086418706;1.3916249661437
90449.21749506476;29;none;none;10;2;208.0718533382;384.20847757652;1.4912854016486
91437.51585807349;30;none;none;10;2;273.10207400674;363.21012956201;1.7913835302512
91501.46588343662;31;none;none;10;2;293.59189800887;372.42489854145;1.8193268501139
91685.07288346357;32;none;none;10;2;234.44121328119;409.93719144091;1.9237873158943
91952.35274348618;33;none;none;10;2;426.24619468068;311.92334887673;1.7235624410547
92044.86370438966;34;none;none;10;2;352.02312790349;246.4886974185;1.4900103596087
92163.95552896389;35;-131.85794826778;-129.59164306001;10;2;256.4737966495;162.25292733857;1.1893525430552
92255.68257674368;36;none;-125.32689525898;10;2;177.12689032277;113.30742800996;1.6926983849369
92342.06463153928;37;none;none;10;2;161.81977720268;52.75200826345;1.7892808785688
92495.26856997747;38;none;none;10;2;366.89282886799;153.33862331038;1.1149258727975
92650.02802523447;39;none;none;10;2;374.05931722251;327.07751701605;1.3210010774222
93001.39613942113;40;-122.13351169477;none;10;2;221.82728649296;229.7180434858;1.5982094627045
93106.95980494245;41;none;-132.76945855062;10;2;193.01381653198;51.868009589303;1.4187689063692
93242.54468821957;42;none;none;10;2;86.282306989752;134.05594891218;1.6835231872712
93338.60156490028;43;none;none;10;2;39.087860003716;225.17700345699;1.7941365457861
93679.12389789709;44;none;-132.90277777444;10;2;110.51139902193;148.21195675657;1.8296814366237
93737.9114347295;45;none;none;10;2;48.245217045006;213.62827792902;1.4735402769593
93928.89403352021;46;-126.63525633101;none;10;2;240.22722217882;281.98409685129;1.6724109117285
93990.25322080014;47;-130.88739653316;none;10;2;309.25869240075;255.5206142669;1.4939598542833
94153.67446358393;48;-132.2993862795;none;10;2;170.93121285682;287.198732541;1.1210515091645
94262.8851812882;49;-125.30742942735;-132.6800923178;10;2;207.70448502193;227.10495698504;1.1640755641356
94465.14381240004;50;none;none;10;2;15.876970980709;348.51649076996;1.6081054028663
94522.22548164305;51;none;none;10;2;13.727700828072;239.99115999355;1.3636239553226
94680.42287603651;52;none;-127.69346710253;10;2;175.86728289386;98.609976096627;1.1014976376564
94869.91699915503;53;none;none;10;2;375.88069378143;118.13305639254;1.1647997488498
94942.5837069693;54;-130.20301338409;none;10;2;281.27152620843;189.33058632823;1.213308704216
95112.68903766103;55;none;-125.77973661511;10;2;233.92151110116;124.8807265769;1.0995811874951
95166.36618650823;56;none;-132.47234246306;10;2;266.99605891741;87.133295144163;1.0694941179122
95310.14163498674;57;none;none;10;2;332.59845117614;338.78356744562;1.5192316266711
95508.46689416559;58;none;none;10;2;404.39149348057;113.50777825948;1.6338246315709
95694.90820232259;59;none;none;10;2;330.63815152222;187.6656876186;1.5861345913255
95845.67951967998;60;-130.49962210686;none;10;2;210.21761799413;300.93352906305;1.6258229664034
95924.42883774438;61;none;none;10;2;136.20224170479;228.13418951582;1.4203542335915
96016.89833230164;62;none;none;10;2;46.365401041114;107.92345479872;1.1195590854431
